A1/ The reply sounds polite and respectful.  ;A1/ I understand what I should do next.  ;A1/ The reply acknowledges my situation appropriately.  ;A1/ I would follow the instructions in this reply.  ;A2/ The reply uses polite wording (e.g., please, could).  ;A2/ The next step is clear to me.  ;A2/ Even when setting limits, the tone feels fair.  ;A2/ The reply feels curt or blaming. [R];A3/ The agen's tone is courteous.  ;A3/ I would do what the reply suggests.  ;A3/ The reply sounds polite and respectful.  ;A3/ Overall, I am satisfied with this reply.  ;A4/ The reply acknowledges my situation appropriately.  ;A4/ Overall, I am satisfied with this reply.  ;A4/ The reply uses polite wording (e.g., please, could).  ;A4/ I would follow the instructions in this reply.  ;A5/ Even when setting limits, the tone feels fair.  ;A5/ Overall, I am satisfied with this reply.  ;A5/ The agent's tone is courteous.  ;A5/ The next step is clear to me.  ;B1/ The reply sounds polite and respectful.  ;B1/ I understand what I should do next.  ;B1/ The reply acknowledges my situation appropriately.  ;B1/ I would follow the instructions in this reply.  ;B2/ The reply uses polite wording (e.g., please, could).  ;B2/ The next step is clear to me.  ;B2/ Even when setting limits, the tone feels fair.  ;B2/ The reply feels curt or blaming. [R];B3/ The agent's tone is courteous.  ;B3/ I would do what the reply suggests.  ;B3/ The reply sounds polite and respectful.  ;B3/ Overall, I am satisfied with this reply.  ;B4/ The reply acknowledges my situation appropriately.  ;B4/ Overall, I am satisfied with this reply.  ;B4/ The reply uses polite wording (e.g., please, could).  ;B4/ I would follow the instructions in this reply.  ;B5/ Even when setting limits, the tone feels fair.  ;B5/ Overall, I am satisfied with this reply.  ;B5/ The agent's tone is courteous.  ;B5/ The next step is clear to me.  ;Is your first language English ?
2;5;5;4;1;3;3;4;5;5;5;1;3;1;4;3;4;2;3;3;2;5;5;5;3;5;1;4;5;3;4;4;5;3;3;4;5;3;3;4;No
5;5;5;4;4;3;5;5;3;4;5;4;5;5;5;5;4;4;5;3;4;5;4;5;2;5;4;3;4;4;4;3;5;5;3;4;5;5;5;3;No
3;4;5;3;5;4;3;5;5;2;3;3;5;4;3;5;5;5;4;5;4;3;3;4;5;5;5;5;4;4;5;3;2;4;3;4;5;3;4;5;No
3;5;5;4;5;4;5;2;5;4;3;4;2;4;4;4;5;3;3;2;5;3;5;5;5;4;3;5;3;5;2;3;4;4;5;4;4;5;3;5;No
5;3;5;4;1;4;2;5;5;5;4;5;3;5;5;3;3;5;5;4;4;5;4;5;5;3;4;4;5;4;4;3;5;4;4;3;4;4;4;4;No
5;3;5;5;5;5;3;3;3;3;5;4;3;4;4;3;4;3;4;1;4;5;5;3;3;3;5;2;3;4;5;3;5;3;2;2;5;4;4;2;No
4;5;5;3;1;5;2;4;5;4;4;3;3;3;4;5;4;3;5;4;3;5;4;3;4;3;3;4;3;4;4;3;5;3;1;3;5;3;5;4;No
4;5;4;5;4;5;4;4;4;5;3;3;3;4;3;3;4;3;5;3;3;5;5;5;5;5;5;4;5;5;5;4;4;3;5;3;5;5;4;5;No
5;5;4;2;4;3;5;3;3;4;5;4;4;4;4;4;3;3;3;5;4;5;3;5;4;3;4;3;4;5;4;3;2;3;5;2;5;4;3;4;Yes
3;5;3;5;5;5;4;4;3;5;3;5;5;1;2;4;4;5;5;3;5;5;1;5;4;4;5;5;5;4;4;4;4;3;5;3;3;5;4;3;No
5;3;5;3;4;4;2;2;4;3;5;4;4;3;5;5;2;5;3;4;4;4;5;5;5;5;1;3;3;4;5;4;3;5;4;2;3;3;5;5;Yes
4;5;5;5;3;5;3;4;5;4;3;5;3;4;3;3;5;4;3;3;5;2;5;1;5;4;5;5;3;3;4;4;4;4;5;2;4;4;3;4;No
3;4;4;5;4;5;4;3;4;5;3;4;3;5;3;3;4;5;5;3;4;3;1;3;4;2;3;1;4;4;4;3;4;5;5;3;2;3;3;5;Yes
2;4;4;5;3;4;4;5;5;2;3;3;5;3;4;2;4;5;4;5;3;4;5;4;5;5;2;5;5;4;3;3;4;4;4;5;4;4;4;4;No
3;3;4;5;4;3;4;4;4;5;5;5;4;5;4;4;4;5;4;5;3;3;3;5;4;5;4;5;5;4;4;4;5;4;3;4;5;3;1;3;No
3;4;3;5;2;5;4;5;3;3;4;5;5;3;5;4;5;4;3;5;2;5;2;4;4;3;3;3;3;5;4;5;4;4;3;2;5;3;5;3;No
5;4;5;5;4;4;4;4;4;4;4;5;5;3;4;2;4;2;5;5;3;5;1;4;5;5;5;3;5;4;5;5;5;5;5;4;5;3;3;5;No
5;4;5;3;4;4;5;4;5;4;5;4;5;3;5;4;4;5;3;5;2;3;5;5;3;4;5;2;4;1;5;3;3;5;4;3;4;3;5;5;No
5;4;5;4;5;5;4;5;4;4;5;3;4;5;4;4;4;4;4;4;4;5;5;4;4;3;5;2;4;4;5;3;5;4;5;2;4;2;5;5;No
5;5;1;5;4;5;3;5;4;3;3;5;4;4;5;3;4;5;5;5;4;4;5;3;5;3;4;4;5;2;4;4;4;4;5;3;5;5;5;4;No
4;5;3;2;4;4;5;4;5;4;5;4;5;3;3;4;5;2;3;5;3;4;4;5;4;3;5;4;3;5;4;4;4;4;4;1;5;5;5;4;No
3;4;5;4;5;5;5;4;4;5;5;4;4;4;3;5;4;4;3;5;5;5;5;4;2;4;5;3;2;5;4;4;4;4;4;4;5;5;4;4;Yes
5;5;4;5;5;5;5;4;5;1;4;3;2;5;4;5;5;3;3;3;4;2;3;3;5;3;5;4;5;3;5;4;1;4;4;2;4;4;4;5;Yes
4;5;5;5;3;5;5;5;5;5;4;5;4;4;5;5;5;5;4;4;3;3;5;3;2;5;5;5;5;5;4;3;4;3;4;2;3;5;2;3;No
4;5;2;3;5;5;5;5;5;4;4;3;4;2;5;5;3;4;4;4;3;4;5;4;4;4;4;3;5;5;2;4;4;5;5;3;4;4;5;3;No
5;4;5;5;5;3;5;3;5;5;4;5;3;3;4;5;5;4;5;4;5;5;5;5;3;5;4;2;4;2;5;3;5;5;5;2;5;4;3;3;No
4;5;5;1;5;5;3;5;5;5;4;4;5;3;4;5;3;4;5;4;3;4;4;4;5;4;4;4;5;3;3;1;3;5;2;3;4;5;3;4;No
5;3;4;5;4;4;3;4;4;5;5;1;5;4;4;4;2;5;5;4;3;5;4;3;5;4;4;4;3;5;4;5;3;1;4;4;5;3;4;5;No
3;5;4;5;5;5;5;4;5;4;5;5;5;3;3;5;4;4;5;5;4;5;3;1;4;1;5;3;4;5;4;4;4;4;5;5;4;5;3;4;No
5;5;2;5;4;4;3;5;3;2;5;3;3;5;5;5;4;4;5;5;5;5;4;5;5;5;4;3;4;3;4;3;5;5;5;4;5;5;4;5;No
5;4;3;2;5;4;4;2;3;4;4;5;3;4;5;5;5;5;2;5;4;4;2;4;5;4;5;4;5;4;5;3;4;5;3;4;4;5;2;4;No
4;3;4;3;4;4;4;5;5;4;5;5;5;5;5;5;5;4;2;4;3;5;5;5;5;4;3;5;5;5;5;3;2;2;3;4;4;4;4;4;No
3;3;4;4;3;5;5;4;3;5;5;5;3;5;5;4;3;4;3;4;5;4;4;5;5;5;4;4;5;5;5;4;4;5;4;4;4;4;2;3;Yes
3;5;4;3;5;5;4;5;3;5;3;5;5;3;4;5;5;3;2;5;4;4;4;4;5;4;3;4;5;4;3;3;5;4;3;2;4;5;4;5;Yes
4;5;4;3;5;3;4;3;4;4;2;2;3;5;4;4;4;4;2;5;4;5;4;2;5;5;4;5;5;1;4;3;4;1;5;2;4;3;3;4;No
3;5;5;4;5;5;3;3;4;4;4;3;4;5;3;5;2;3;3;5;4;4;4;5;5;4;5;2;5;4;4;3;5;4;3;4;3;5;4;4;No
4;5;5;4;4;5;5;5;4;3;4;5;4;1;4;4;5;5;4;4;4;2;5;3;4;3;5;5;5;4;4;3;5;3;5;3;4;4;3;5;No
5;4;5;4;2;4;5;4;5;4;2;5;5;5;4;5;4;4;3;2;3;5;4;5;5;5;5;5;5;5;4;4;3;4;4;2;5;5;3;5;Yes
5;3;4;5;4;1;5;4;5;3;5;5;2;4;5;4;2;5;4;5;4;5;4;4;3;5;5;4;2;5;5;4;3;4;5;3;3;3;3;5;No
5;4;4;3;5;4;4;3;4;3;4;5;5;4;4;5;4;5;5;3;4;5;4;4;5;5;3;4;4;5;5;3;5;4;4;3;5;2;2;3;Yes
3;5;5;5;4;4;4;5;4;5;4;2;4;3;4;5;4;4;2;3;4;5;4;4;3;4;5;3;5;5;4;3;4;4;2;4;5;4;4;4;No
5;5;4;5;4;3;3;5;5;5;5;5;5;5;4;4;5;4;3;3;1;5;4;4;4;4;4;4;3;3;3;3;3;5;5;3;4;2;3;5;No
4;3;5;5;5;3;5;3;4;4;4;2;4;5;3;5;3;3;5;4;2;3;4;4;3;5;4;5;5;3;5;5;5;5;4;3;5;4;4;5;No
2;3;4;5;5;5;4;4;4;2;5;3;3;4;3;4;4;5;5;3;3;4;3;4;5;3;4;2;5;4;4;3;5;5;5;2;5;4;3;5;No
5;3;3;5;4;2;5;5;5;4;5;4;4;5;3;3;4;5;5;3;3;4;4;5;4;1;4;5;4;3;4;4;4;5;4;2;5;4;4;4;No
3;5;5;3;4;4;4;5;5;4;4;4;4;5;5;3;2;3;4;3;5;5;4;5;4;4;4;5;5;5;2;3;5;4;5;2;3;3;5;5;No
5;5;4;4;4;4;4;3;4;4;4;5;5;4;5;3;5;5;4;4;3;2;4;5;4;5;4;5;4;5;4;3;4;1;4;2;4;5;4;5;No
4;5;3;5;4;3;4;4;3;4;4;4;5;5;4;2;5;4;3;4;3;3;4;5;4;4;4;5;5;5;3;4;4;5;5;2;5;5;4;5;No
4;5;5;3;4;3;5;5;3;1;5;5;5;4;5;3;3;4;3;5;4;5;4;5;5;4;3;4;5;4;4;4;2;4;4;4;5;3;5;3;No
4;4;4;5;4;5;4;5;5;5;5;5;5;5;5;4;3;3;4;4;4;4;5;4;5;5;4;4;5;3;3;4;5;5;5;4;4;4;3;4;No
5;5;5;4;5;5;4;5;3;3;3;5;5;3;4;5;4;5;4;4;4;5;3;1;3;4;3;3;5;3;5;3;4;5;4;2;4;5;3;4;No
4;3;4;5;3;4;4;3;4;3;3;4;5;4;5;4;5;3;3;4;5;5;5;2;2;3;3;4;4;5;4;3;3;5;3;2;5;4;3;5;No
4;3;1;3;5;5;3;3;5;5;5;5;4;3;4;5;5;3;4;4;4;3;4;5;4;4;3;5;3;5;3;5;4;4;4;2;2;3;5;4;Yes
4;4;5;3;3;3;5;2;4;5;4;3;5;3;5;4;5;5;4;4;5;2;2;3;2;4;4;3;4;5;4;3;4;5;3;4;2;2;3;3;No
4;3;5;5;5;5;5;2;5;2;1;4;4;4;5;4;5;5;4;3;4;5;3;2;3;5;3;4;5;5;4;4;4;2;5;2;4;3;3;2;No
5;5;5;5;3;5;3;5;3;4;5;5;5;4;5;4;5;3;4;3;5;5;5;5;4;5;5;5;3;4;5;5;4;5;5;4;5;4;3;4;No
4;3;5;3;5;4;5;5;5;5;5;1;5;1;3;5;4;5;3;1;5;3;4;3;4;4;1;3;5;5;5;3;5;3;5;4;3;4;3;5;No
4;2;4;5;5;5;5;5;4;1;4;5;4;3;4;4;4;4;4;1;3;4;3;5;5;4;3;5;3;5;3;3;4;5;4;2;3;4;4;5;No
5;4;5;4;5;3;3;5;5;5;4;3;5;4;4;5;5;3;5;3;4;5;4;4;4;3;3;5;5;3;3;3;3;4;4;2;5;4;4;5;No
5;3;3;4;2;4;4;3;4;4;5;3;5;2;3;5;3;4;4;1;4;5;5;4;5;4;4;5;2;4;5;4;5;3;4;4;3;5;2;4;No
5;3;1;5;3;4;5;4;4;4;3;5;4;5;3;5;3;5;5;4;3;5;2;3;5;3;4;5;5;4;4;4;3;3;4;2;3;4;5;5;No
4;3;5;5;5;4;3;4;5;3;4;5;3;5;3;3;4;3;5;4;2;5;4;5;4;4;5;4;3;3;4;4;3;4;2;4;5;4;3;4;No
5;2;3;5;3;5;3;4;5;4;1;5;4;4;5;3;4;5;5;3;4;5;5;5;4;5;4;3;5;3;5;3;3;4;2;4;4;3;4;5;No
2;4;3;3;5;3;4;5;4;4;4;5;5;3;4;4;5;4;3;4;5;3;4;4;3;4;5;3;5;5;3;1;4;4;4;4;5;4;4;4;No
5;3;3;4;4;2;4;3;5;4;4;5;5;5;4;3;4;5;4;5;4;4;4;3;4;1;5;3;4;4;3;4;4;4;5;4;4;4;3;5;No
3;3;5;5;4;3;3;5;5;4;5;2;4;5;3;4;4;5;3;4;4;5;3;5;4;5;5;4;4;4;4;3;2;3;5;4;3;1;4;4;No
5;5;4;5;5;3;4;5;5;5;5;5;3;5;5;4;5;5;5;5;5;3;4;3;3;2;5;5;2;5;5;5;4;5;3;3;1;4;4;5;No
3;3;5;1;4;5;4;5;3;5;5;3;5;5;3;4;5;3;4;3;4;5;3;3;4;3;3;4;3;5;4;3;5;5;4;5;5;3;3;4;No
3;4;5;5;4;5;5;4;4;3;4;2;2;4;5;3;3;5;3;2;4;5;4;4;4;4;5;4;4;4;3;3;5;4;4;4;4;4;2;5;No
5;5;3;4;5;2;2;3;4;1;4;2;3;4;5;5;2;4;3;3;3;4;4;4;5;3;4;3;3;3;3;3;5;5;4;4;3;3;4;5;No
4;5;4;5;4;4;3;4;4;2;3;5;5;5;4;4;4;4;4;2;4;3;5;2;5;5;4;3;5;3;4;4;4;5;5;3;3;3;3;4;No
3;4;4;3;4;5;5;3;5;4;3;4;4;5;2;5;5;4;3;4;4;4;5;3;3;4;4;5;5;4;5;5;5;4;1;2;5;2;4;5;No
5;5;5;4;4;5;4;3;3;5;4;3;3;5;5;3;4;4;3;5;3;3;5;4;4;5;4;4;3;3;4;3;2;3;2;4;4;5;3;5;No
4;5;5;4;3;5;4;1;4;2;4;5;5;4;4;5;5;4;2;4;5;4;3;2;5;5;4;3;5;5;4;3;5;5;4;3;2;5;5;5;No
5;5;4;1;5;3;5;5;3;4;5;4;4;4;5;3;5;4;4;5;5;5;5;5;3;5;3;5;4;5;3;3;3;4;4;4;5;4;3;4;Yes
4;4;5;4;3;5;5;4;4;5;5;3;2;4;4;5;3;3;4;3;4;5;4;4;2;3;4;4;4;5;3;3;4;3;4;2;4;4;4;4;No
5;5;4;1;5;4;5;4;4;1;5;4;4;4;4;4;4;4;5;3;3;3;4;3;4;4;1;3;4;3;5;3;3;5;4;4;3;4;5;5;No
4;4;5;2;4;3;5;5;5;3;5;3;4;4;3;4;5;4;5;4;5;5;5;4;5;5;3;5;5;2;5;3;5;4;3;2;3;5;3;4;No
5;2;3;3;5;4;3;3;3;4;3;2;4;3;3;4;3;5;3;4;5;4;5;5;5;4;3;5;4;4;5;3;4;3;5;3;4;4;3;3;No
5;5;4;5;3;5;3;2;5;3;5;5;4;4;5;3;5;4;4;3;4;4;4;5;2;4;4;5;4;3;4;3;5;4;3;2;4;3;4;4;No
5;5;4;3;4;2;5;5;5;5;5;4;5;3;5;5;4;5;4;5;4;4;4;5;4;5;4;4;5;4;4;3;4;4;4;4;5;1;3;5;No
4;5;4;3;4;4;4;3;4;4;1;4;4;4;5;5;5;4;4;5;4;4;5;5;5;4;5;4;5;4;4;4;5;5;3;2;5;4;3;5;No
4;5;3;3;4;4;5;4;4;4;5;5;3;3;5;5;3;3;5;4;4;4;3;4;4;3;5;4;4;4;3;3;4;5;5;1;3;3;3;4;No
4;4;4;4;5;4;4;1;3;5;2;3;4;4;3;5;3;4;5;1;5;5;3;5;5;3;3;1;2;1;4;3;5;3;4;3;5;3;3;3;No
5;5;4;5;5;4;4;5;3;2;5;5;2;4;3;4;4;5;3;3;3;4;2;5;3;5;5;3;4;3;5;3;4;4;4;2;5;4;5;4;Yes
3;4;5;3;4;2;5;3;5;5;2;3;5;5;5;5;4;2;5;1;3;3;4;5;4;4;5;3;5;4;4;3;5;3;3;2;5;4;3;4;Yes
4;3;4;2;5;5;5;3;4;4;4;3;4;4;4;2;5;5;5;4;5;3;4;3;4;4;3;4;3;3;3;3;4;3;5;4;3;4;1;5;No
3;4;4;5;5;2;4;3;3;1;5;1;3;3;2;5;3;4;2;4;2;4;4;5;4;5;5;5;5;5;3;3;5;3;3;4;5;5;5;5;No
4;4;4;5;4;3;4;5;3;4;4;4;2;4;4;5;5;3;5;2;4;3;4;5;3;4;3;4;5;4;4;4;5;4;4;2;3;1;4;3;No
4;5;5;4;4;5;3;3;5;3;1;4;3;4;5;4;5;5;5;3;4;5;5;5;4;4;4;3;3;4;5;3;3;4;2;2;4;4;4;5;Yes
4;2;4;5;5;4;4;4;5;2;4;4;5;2;5;5;4;5;5;4;4;4;2;2;3;1;4;5;3;5;3;3;3;3;5;2;5;3;3;3;No
4;4;5;5;3;5;5;4;4;4;4;1;4;2;5;5;3;4;5;5;4;5;4;1;3;4;5;4;2;3;5;4;5;4;5;4;4;4;3;5;Yes
5;4;4;4;4;5;4;5;2;3;4;4;5;4;4;5;5;4;2;4;5;4;2;4;3;4;5;5;3;2;4;4;5;3;4;3;2;1;3;4;No
5;3;3;4;3;4;4;5;4;3;5;4;5;4;5;5;3;5;5;5;4;4;2;5;3;5;4;4;3;4;5;4;3;3;4;2;5;4;3;5;No
5;2;5;4;3;3;4;5;4;3;4;5;4;4;4;5;4;3;5;5;4;4;4;4;5;5;3;1;5;3;4;4;3;4;2;2;4;3;5;5;No
3;5;4;5;5;1;3;5;5;4;4;3;3;3;5;5;5;5;5;4;3;5;1;2;5;3;3;3;5;3;4;3;4;5;4;3;5;4;4;5;No
3;5;5;3;5;5;5;4;5;4;4;3;2;4;4;4;5;4;3;3;5;3;4;5;4;3;4;4;5;4;5;2;5;5;5;3;5;3;3;5;No
5;4;5;3;4;3;4;4;4;5;4;3;4;5;4;5;5;5;5;5;4;3;5;5;3;3;5;4;3;4;3;5;4;5;4;3;3;4;3;4;No
5;4;5;5;5;4;5;4;5;4;3;5;5;5;4;4;3;4;5;1;5;3;4;4;5;4;5;4;3;5;4;3;3;4;3;2;4;4;5;4;No
4;5;5;5;3;5;4;5;5;5;3;4;5;3;3;4;5;4;4;5;4;5;5;5;3;4;3;5;5;4;4;3;5;5;3;4;4;5;4;4;No
4;5;4;4;5;5;3;5;5;3;5;5;2;3;3;4;4;5;5;5;5;5;5;5;3;4;4;5;5;5;4;5;2;4;5;4;5;4;5;3;Yes
3;4;4;3;5;3;3;3;4;5;5;5;5;4;4;4;5;4;4;4;4;5;5;3;5;5;4;5;5;3;4;4;5;5;3;2;4;5;5;5;No
4;4;5;4;3;5;5;4;5;3;4;4;3;5;5;5;3;5;3;1;5;4;4;3;5;4;4;3;3;5;4;3;4;3;2;2;4;4;3;3;No
5;3;3;5;5;3;4;5;3;4;4;4;5;4;5;5;3;4;5;4;4;4;5;5;5;5;5;5;5;5;3;4;4;5;5;4;4;5;3;3;No
5;5;5;4;5;3;3;3;5;4;4;4;3;5;5;3;5;4;3;4;3;4;4;1;2;4;5;5;4;2;4;3;3;3;5;2;3;5;5;3;No
5;5;5;5;3;4;5;4;3;3;4;5;5;5;4;2;5;4;3;4;1;4;4;3;4;3;4;3;4;2;3;3;3;3;5;3;1;3;4;5;No
5;5;4;5;5;3;4;5;4;4;5;1;3;5;3;3;4;5;4;4;4;4;5;4;4;4;3;5;4;3;5;5;5;4;2;4;5;5;2;4;No
5;5;4;5;3;5;5;5;3;2;4;3;5;3;4;5;5;5;3;4;5;5;3;5;3;3;3;4;4;4;3;3;5;4;2;4;5;3;5;4;No
5;4;5;4;5;4;5;1;4;5;3;4;3;5;5;1;4;3;5;5;3;5;4;4;5;3;3;3;5;3;4;3;5;5;5;2;4;4;3;5;No
5;3;4;5;5;4;5;5;5;3;1;2;4;4;4;1;3;5;4;5;4;5;5;3;4;3;4;4;4;3;5;4;4;5;4;3;2;4;4;5;No
3;3;4;5;3;4;3;3;4;3;4;3;5;3;2;5;3;2;2;3;4;5;4;4;4;5;5;5;5;5;3;4;4;4;5;4;4;4;3;4;No
2;5;3;5;4;5;4;5;4;5;5;4;4;4;4;4;3;4;3;5;4;5;5;4;3;2;5;4;5;4;4;3;3;3;4;4;4;4;4;4;No
5;5;3;3;5;5;3;5;5;4;4;2;5;5;5;3;5;1;5;4;4;5;5;5;4;4;4;3;4;4;4;3;4;3;4;2;5;5;3;5;No
