question,pair_id,chatbot,scenario,construct,reverse,Prompt_Id,prompt_text,reply_text
"B2/ The reply uses polite wording (e.g., please, could).",P2,Chatbot B,P2 – Damaged item,PI,0,P03_B,My product arrived damaged. I want a replacement.,"We sincerely regret the inconvenience. Please confirm the order via Select order and we’ll arrange a replacement or refund immediately, including a pickup if needed."
B2/ The next step is clear to me.,P2,Chatbot B,P2 – Damaged item,HL,0,P03_B,My product arrived damaged. I want a replacement.,"We sincerely regret the inconvenience. Please confirm the order via Select order and we’ll arrange a replacement or refund immediately, including a pickup if needed."
"B2/ Even when setting limits, the tone feels fair.",P2,Chatbot B,P2 – Damaged item,PI,0,P03_B,My product arrived damaged. I want a replacement.,"We sincerely regret the inconvenience. Please confirm the order via Select order and we’ll arrange a replacement or refund immediately, including a pickup if needed."
B2/ The reply feels curt or blaming. [R],P2,Chatbot B,P2 – Damaged item,RC,1,P03_B,My product arrived damaged. I want a replacement.,"We sincerely regret the inconvenience. Please confirm the order via Select order and we’ll arrange a replacement or refund immediately, including a pickup if needed."
B3/ The agent's tone is courteous.,P3,Chatbot B,P3 – Warranty claim,PI,0,P23_B,My product stopped working within the warranty—how do I file a claim?,Sorry to hear the product isn’t working. Please share your order number so we can start a warranty claim and guide you through the process.
B3/ I would do what the reply suggests.,P3,Chatbot B,P3 – Warranty claim,CMP,0,P23_B,My product stopped working within the warranty—how do I file a claim?,Sorry to hear the product isn’t working. Please share your order number so we can start a warranty claim and guide you through the process.
B3/ The reply sounds polite and respectful.,P3,Chatbot B,P3 – Warranty claim,PI,0,P23_B,My product stopped working within the warranty—how do I file a claim?,Sorry to hear the product isn’t working. Please share your order number so we can start a warranty claim and guide you through the process.
"B3/ Overall, I am satisfied with this reply.",P3,Chatbot B,P3 – Warranty claim,CSAT,0,P23_B,My product stopped working within the warranty—how do I file a claim?,Sorry to hear the product isn’t working. Please share your order number so we can start a warranty claim and guide you through the process.
B4/ The reply acknowledges my situation appropriately.,P4,Chatbot B,P4 – Policy limit / return deadline,PI,0,P07_B,Can you extend my return window by a few days?,We’re sorry for the trouble and understand your wish to return. Please confirm the order via Select order so we can review eligibility and do our best to help.
"B4/ Overall, I am satisfied with this reply.",P4,Chatbot B,P4 – Policy limit / return deadline,CSAT,0,P07_B,Can you extend my return window by a few days?,We’re sorry for the trouble and understand your wish to return. Please confirm the order via Select order so we can review eligibility and do our best to help.
"B4/ The reply uses polite wording (e.g., please, could).",P4,Chatbot B,P4 – Policy limit / return deadline,PI,0,P07_B,Can you extend my return window by a few days?,We’re sorry for the trouble and understand your wish to return. Please confirm the order via Select order so we can review eligibility and do our best to help.
B4/ I would follow the instructions in this reply.,P4,Chatbot B,P4 – Policy limit / return deadline,CMP,0,P07_B,Can you extend my return window by a few days?,We’re sorry for the trouble and understand your wish to return. Please confirm the order via Select order so we can review eligibility and do our best to help.
"B5/ Even when setting limits, the tone feels fair.",P5,Chatbot B,P5 – Address change,PI,0,P08_B,I need to change my delivery address before it ships.,"If your order isn’t packed yet, go to Your Orders, open the order, tap Edit to update the address or phone. If it’s already packed or shipped, we’ll help contact the carrier to request a reroute."
"B5/ Overall, I am satisfied with this reply.",P5,Chatbot B,P5 – Address change,CSAT,0,P08_B,I need to change my delivery address before it ships.,"If your order isn’t packed yet, go to Your Orders, open the order, tap Edit to update the address or phone. If it’s already packed or shipped, we’ll help contact the carrier to request a reroute."
B5/ The agent's tone is courteous.,P5,Chatbot B,P5 – Address change,PI,0,P08_B,I need to change my delivery address before it ships.,"If your order isn’t packed yet, go to Your Orders, open the order, tap Edit to update the address or phone. If it’s already packed or shipped, we’ll help contact the carrier to request a reroute."
B5/ The next step is clear to me.,P5,Chatbot B,P5 – Address change,HL,0,P08_B,I need to change my delivery address before it ships.,"If your order isn’t packed yet, go to Your Orders, open the order, tap Edit to update the address or phone. If it’s already packed or shipped, we’ll help contact the carrier to request a reroute."
Is your first language English ?,,,,META,0,,Demographic or meta item,
